mouse,condition,CS,CS_bin_0Low_1mid_2high
595,2,11,2
610,2,11,2
611,2,9,2
621,1,6,1
622,1,5,1
45,3,0,0
24,1,9,2
600,0,8,2
601,0,6,1
602,3,0,0
603,3,0,0
560,1,6,1
561,1,7,1
562,3,0,0
563,3,0,0
42,0,6,1
43,0,6,1
44,3,0,0
7,1,8,2
504,1,3,1
505,3,0,0
506,3,0,0
294,1,3,1
296,0,0,0
